speaker,text,label
*PRE,ailleurs nombreux projets architecturaux ponctuel tailles diver intégrées Grand Paris ' image tour triangle,
*PRE,haute 180 mètres serum coeur parc exposition porte Versailles,
*PRE,42 étages devrait transformer parc exposition ensemble tertiaire reconnus ' échelle internationale,
*PRE,travaux pourraient commencer 2013 collectif riverains ' oppose projet pourrait repousser ' échéance,
*PRE,' autres projets cours réalisation comme restructuration sidéal premier arrondissement Paris,
*PRE,614900_616580,
*PRE,712620_720720,
perso 2,enfait Grand Paris ' plus 600 projets toutes sortes,
perso 2,pourrez mieux découvrir venant pavillon ' arsenal,
perso 2,pourrez manipuler cette très grande maquette numérique là do,
perso 2,porte ' avenir capitale France,
perso 2,fait si résume grandes problématiques ' abord Paris a besoin plus logements,
perso 2,faut améliorer ' offre transport entre banlieues entre banlieues Paris centre,
perso 2,alors Paris intra-muros très bien réussi réduire place l'automobile franchement tant mieux,
perso 2,construire plus logements puis a aussi problèmes cohérence gouvernance coordination,
perso 2,car no mille-feuilles institutionnel créer rivalités entre commune ville région ' état,
perso 2,cela entraîne évidemment certain nombre déperdition perte d'efficacité,
perso 2,donc toutes institution prêtes doter ' outil gouvernance plus moins,
perso 2,commun,
perso 2,puis a question l'urbanisme,
perso 2,car désindustrialisation ' achevé douleur,
perso 2,crise banlieues,
perso 2,crise l'environnement l'énergie,
perso 2,comment retisser lien autour Paris Paris,
perso 2,capitale France peine a urbanistiquement institutionnellement socialement donc mentalement,
perso 2,dépacer cette coupure cette frontiére forme boulevard périphériqe,
